00:44:45 [5025ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full) on comma and removing spaces
00:44:45 [5025ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full)
00:44:45 [5025ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5025ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5025ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5026ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5026ms] frame_data_operations[28]| DEBUG: Splitting Chains Into Self on comma and removing spaces
00:44:45 [5026ms] frame_data_operations[23]| DEBUG: Removing spaces from Chains Into Self
00:44:45 [5026ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5026ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5027ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5027ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5027ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5027ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5027ms] frame_data_operations[28]| DEBUG: Splitting Launcher on comma and removing spaces
00:44:45 [5028ms] frame_data_operations[23]| DEBUG: Removing spaces from Launcher
00:44:45 [5028ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5028ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5028ms] frame_data_operations[28]| DEBUG: Splitting Launcher, Chains Into Self on comma and removing spaces
00:44:45 [5028ms] frame_data_operations[23]| DEBUG: Removing spaces from Launcher, Chains Into Self
00:44:45 [5029ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5029ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5029ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5029ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5029ms] frame_data_operations[28]| DEBUG: Splitting Chains Into Self on comma and removing spaces
00:44:45 [5030ms] frame_data_operations[23]| DEBUG: Removing spaces from Chains Into Self
00:44:45 [5030ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5030ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5030ms] frame_data_operations[28]| DEBUG: Splitting Chains Into Self on comma and removing spaces
00:44:45 [5030ms] frame_data_operations[23]| DEBUG: Removing spaces from Chains Into Self
00:44:45 [5031ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5031ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5031ms] frame_data_operations[28]| DEBUG: Splitting Sound Stun on comma and removing spaces
00:44:45 [5031ms] frame_data_operations[23]| DEBUG: Removing spaces from Sound Stun
00:44:45 [5031ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5032ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5032ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5032ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5032ms] frame_data_operations[28]| DEBUG: Splitting Sweep on comma and removing spaces
00:44:45 [5032ms] frame_data_operations[23]| DEBUG: Removing spaces from Sweep
00:44:45 [5033ms] frame_data_operations[28]| DEBUG: Splitting Whiff Cancel on comma and removing spaces
00:44:45 [5033ms] frame_data_operations[23]| DEBUG: Removing spaces from Whiff Cancel
00:44:45 [5033ms] frame_data_operations[28]| DEBUG: Splitting Whiff Cancel on comma and removing spaces
00:44:45 [5033ms] frame_data_operations[23]| DEBUG: Removing spaces from Whiff Cancel
00:44:45 [5033ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5034ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5034ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5034ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5034ms] frame_data_operations[28]| DEBUG: Splitting Chains Into Self on comma and removing spaces
00:44:45 [5034ms] frame_data_operations[23]| DEBUG: Removing spaces from Chains Into Self
00:44:45 [5035ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5035ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5035ms] frame_data_operations[28]| DEBUG: Splitting No Cancel * on comma and removing spaces
00:44:45 [5035ms] frame_data_operations[23]| DEBUG: Removing spaces from No Cancel *
00:44:45 [5036ms] frame_data_operations[28]| DEBUG: Splitting 50 Damage Scaling on comma and removing spaces
00:44:45 [5036ms] frame_data_operations[23]| DEBUG: Removing spaces from 50 Damage Scaling
00:44:45 [5036ms] frame_data_operations[28]| DEBUG: Splitting 50 Damage Scaling on comma and removing spaces
00:44:45 [5036ms] frame_data_operations[23]| DEBUG: Removing spaces from 50 Damage Scaling
00:44:45 [5036ms] frame_data_operations[28]| DEBUG: Splitting Armor (1 hit), Tag on comma and removing spaces
00:44:45 [5037ms] frame_data_operations[23]| DEBUG: Removing spaces from Armor (1 hit), Tag
00:44:45 [5037ms] frame_data_operations[28]| DEBUG: Splitting Snapback on comma and removing spaces
00:44:45 [5037ms] frame_data_operations[23]| DEBUG: Removing spaces from Snapback
